Date Production;N BP;Ville;Date sur Poteau;Coulage;Type Poteau;R_f_rence Poteau;Rebus?;Relation1;Relation2;Relation3;Relation4;
18/01/2021;16;Abidjan;18/01/2021;1;7.200;1721;Rebus Mineur;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;2721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;3721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;4721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;5721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;6721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;7721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;8721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;9721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;10721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;11721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;12721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;13721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;14721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;15721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;16721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;17721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;18721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;1;7.200;19721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;20721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;21721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;22721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;23721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;24721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;25721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;26721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;27721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;28721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;29721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;30721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;31721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;32721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;33721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;34721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;35721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;36721;Non;;;;;
19/01/2021;17;Abidjan;19/01/2021;2;7.200;37721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;38721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;39721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;40721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;41721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;42721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;43721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;44721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;45721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;46721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;47721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;48721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;49721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;50721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;51721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;52721;Non;;;;;
20/01/2021;18;Abidjan;20/01/2021;1;7.200;53721;Non;;;;;
